40
0,0,0,-,-,-,-
1,7,24,Mccormick,Rozanne,23/10/1807,Staffordshire
2,9,4,Davenport,Earnest,14/5/1875,Norfolk
3,35,12,Hamilton,Jamar,30/11/1827,Shropshire
4,39,13,Hodgkins,Andra,24/6/1846,City of Aberdeen
5,22,0,Davenport,My,11/3/1763,Norfolk
6,8,0,Newbury,Gia,23/2/1817,Lincolnshire
7,0,37,Mccormick,Gonzalo,15/9/1781,Staffordshire
8,27,0,Newbury,Rey,6/7/1790,Lincolnshire
9,23,20,Davenport,Christian,26/4/1838,Norfolk
10,27,0,Newbury,Tyler,15/4/1796,Lincolnshire
11,28,0,Batten,Wanda,3/2/1785,Worcestershire
12,0,21,Davenport,Bee,1/11/1800,Norfolk
13,16,14,Mccormick,Rosina,22/2/1815,Worcestershire
14,28,0,Batten,Hermelinda,16/12/1780,Worcestershire
15,16,14,Mccormick,Marisha,6/11/1810,Staffordshire
16,0,37,Mccormick,Randell,17/2/1789,Staffordshire
17,39,13,Hodgkins,Florencia,28/12/1839,Herefordshire
18,28,0,Batten,Zack,3/2/1792,Worcestershire
19,28,0,Batten,Jeanett,18/1/1786,Worcestershire
20,27,0,Newbury,Lois,17/2/1798,Lincolnshire
21,22,0,Davenport,Margrett,8/10/1770,Norfolk
22,0,34,Davenport,Heath,5/1/1733,Norfolk
23,0,21,Davenport,Barney,29/6/1806,Norfolk
24,0,0,Fewtrell,Loris,8/3/1781,Lincolnshire
25,28,0,Batten,Forest,6/4/1793,Worcestershire
26,32,31,Hamilton,Lona,1/11/1858,South Yorkshire
27,0,0,Newbury,Teodoro,19/8/1764,Lincolnshire
28,0,0,Batten,Pete,22/2/1754,Worcestershire
29,38,0,Batten,Elois,22/4/1806,Worcestershire
30,8,0,Newbury,Dayle,30/10/1827,Lincolnshire
31,0,0,Dolton,Roselia,19/3/1819,South Yorkshire
32,35,12,Hamilton,Napoleon,8/10/1829,City of Glasgow
33,0,37,Mccormick,Rosario,20/4/1785,Staffordshire
34,0,0,Davenport,Luana,23/9/1696,Norfolk
35,0,0,Hamilton,Brent,21/3/1797,Dumfries
36,28,0,Batten,Mira,2/3/1786,Worcestershire
37,0,0,Mccormick,Tanesha,1/5/1754,Staffordshire
38,28,0,Batten,Toby,7/7/1781,Worcestershire
39,0,0,Hodgkins,Salvatore,23/9/1808,Herefordshire
40,0,37,Mccormick,Jina,19/3/1781,Staffordshire
